customerID,Reviews
ALFKI,products are excellent. I like the quality provided at much reasonable price
ANATR,great product range with high standard of quality and affordable price
ANTON,rude employees with bad behavior. Return policies are worst. Not a good range of products available
AROUT,long shipping time. prices are very high. staff attitude is bad towards customers
BERGS,excellent product range at reasonable price points. Quite affordable to everyone
BLAUS,I think northwind should increase number of staff. It take too much time to buy in products in their stores
BLONP,north wind should focus on their product quality. I had a bad experience with their products
BOLID,I got Grandma's Boysenberry Spread from store X and I’m very satisfied. They are high-quality and worth the money. The store also offered free shipping at that price so that’s a plus!”
BONAP,"I ordered a Uncle Bob's Organic Dried Pears from Northwind store last week, and I was amazed at how quickly it arrived. The packaging was secure, ensuring the item was undamaged. The customer service was exceptional, as they kept me updated throughout the entire process. I had a question about the product, and their support team responded promptly and professionally. Overall, my experience with [Store Name] was outstanding, and I can’t wait for my next purchase."
BOTTM,"I recently discovered Northwind while searching for a specific Genen Shouyu. Not only did they have the item I was looking for, but their selection was vast, and the prices were competitive. "
BSBEV,I recently bought Chai from their store. The taste was amazing. I also got a free shipping as it was my first purchase. It's worth well to spend money on their high quality products. Highly recommended!
CACTU,"I was extremely disappointed with the customer service at Northwind. I had a simple question about my order, and the representative was rude and unhelpful. It took multiple calls to get a resolution. Not a pleasant experience at all"
CENTC,
CHOPS,"I had an amazing experience with northwind. Their customer service was top-notch, and they went above and beyond to ensure I was satisfied with my purchase. Highly recommend!"
COMMI,
CONSH,"The product I received from northwind store exceeded my expectations. It’s durable, well-made, and exactly as described. I will definitely be buying from them again!"
DRACD,
DUMON,"Ordering from northwind store was a breeze, and the delivery was super fast. The item arrived in perfect condition, and the whole process was smooth and hassle-free"
EASTC,
ERNSH,The product I received from northwind was nothing like the description on their website. It was of poor quality and did not meet my expectations. I feel like I wasted my money and will not be purchasing from them again
FAMIA,
FISSA,"I suggest northwind to fix their staff behaviour towards the customer. In my experience, their staff members are so rude and unhelpful"
FOLIG,"northwind offers fantastic value for money. Their prices are reasonable, and the quality of their products is exceptional. I’m very pleased with my purchase and the overall experience"
FOLKO,I recently had a great experience with supporting staff member and I want to make sure they were recognized. Does anyone has any suggestion on what I should say?
FRANK,
FRANR,"I ordered a gift from northwind and paid extra for express shipping, but it arrived a week late. This caused a lot of inconvenience, and their customer support was unresponsive when I tried to get an update on my order status"
FRANS,
FURIB,The team at northwind was incredibly responsive and helpful. They answered all my questions promptly and made sure I had all the information I needed before making a purchase
GALED,"Shopping on northwind’s website was a pleasure. It’s user-friendly, easy to navigate, and the checkout process was quick and simple. Plus, they have a great selection of products!"
GODOS,
GOURL,"I’ve shopped with northwind multiple times, and they never disappoint. The customer experience is always fantastic, from browsing their site to receiving my order. Keep up the great work!"
GREAL,
GROSR,"The item I bought from northwind was defective right out of the box. It didn’t work as advertised, and when I contacted them for a replacement, they made the process very difficult and time-consuming"
HANAR,northwind stores are flooded with a great range of products with high quality standards. I love to buy them even if they charge an extra premium for those
HILAA,
HUNGC,"My shopping experience with northwind was wonderful. The staff were friendly and knowledgeable, and the product quality is superb. I will definitely recommend them to others"
HUNGO,
ISLAT,"Northwind offers excellent after-sales service. When I had an issue with my order, they resolved it quickly and professionally. It’s reassuring to know they stand by their products"
KOENE,"In my recent experience, I bought Teatime Chocolate Biscuits from one the nearby northwind store. I love that! It was amazing in taste. I will certainly go back to buy it!"
LACOR,
LAMAI,"I had an issue with my order from northwind and tried reaching out to their customer support multiple times, but I never received a response. This level of service is unacceptable, and I won’t be shopping here again"
LAUGB,
LAZYK,"I trust northwind staff for all my needs. They are reliable, and I know I can count on them to deliver high-quality products and outstanding service every time"
LEHMS,"Last month, I bought Sasquatch Ale from northwind store in New York. It was disgusting in taste. I never wanted to taste that again ever in life!"
LETSS,"The website is amazing! It has a huge selection of products, is easy to use, and delivers quickly. I'm always happy with my purchases from here"
LILAS,
LINOD,"I was so impressed with the customer service I received at this company. The team was very friendly and helpful, and they went above and beyond to make sure I was satisfied. I highly recommend this company to anyone looking for a great buying experience"
LONEP,
MAGAA,I feel that the products at northwind are overpriced for the quality you get. The item I purchased was flimsy and not worth the high price tag. I expected much better for what I paid
MAISD,
MEREP,northwind's return policies are worst. I suggest them to look hard into it and make it favorable to customer. I had a bad experience in returning one of the product I bough from them
MORGK,The customer service here is outstanding! After-sales service was quick and friendly when I had a problem. I highly recommend this online store
NORTS,
OCEAN,"The packaging from northwind was horrible. My order arrived in bad shape because it wasn’t packed properly. When I contacted them, they refused to provide me offer any satisfactory solution"
OLDWO,
OTTIK,The quality of the products here is always better than I expected. The descriptions and photos are accurate. I've been a loyal customer for years
PARIS,
PERIC,
PICCO,"Returning an item to northwind was a nightmare. Their return policy is overly complicated, and I had to jump through hoops to get a refund. This experience has left a bad taste in my mouth"
PRINI,
QUEDE,
QUEEN,"The website is so easy to use, it makes online shopping a joy. The exclusive offers for subscribers are a great perk. I'm not shopping anywhere else!"
QUICK,
RANCH,"northwind’s advertising is very misleading. The product looked great in the ads, but when it arrived, it was a completely different story. I feel deceived and will not trust their marketing again"
RATTC,
REGGC,Ordering was a breeze. The checkout process is secure and easy. My items arrived well-packaged and in perfect condition
RICAR,
RICSU,
ROMEY,"There was a complete lack of communication from northwind after I placed my order. I didn’t receive any updates or tracking information, and it took forever for my order to arrive"
SANTG,
SAVEA,"Delightful tofus at the their stores! Each bite was heavenly, and they had a variety of treats for everyone’s taste. A must-visit for dessert lovers!"
SEVES,
SIMOB,
SPECD,"The packaging from northwind was terrible. My order arrived damaged because it wasn’t packed properly. When I contacted them, they didn’t offer a satisfactory solution"
SPLIR,
SUPRD,
